feature,f-score,p-value
WFRCcwdi,1774.8745073841274,0.0
WFRCcwi,1212.6511704811783,7.976905220301475e-261
LDMLTD,1094.40308366875,5.1143075686249855e-236
WFMw,862.7164745497214,3.7931478646550974e-187
WFMcw,855.1996143327174,1.4808827217721892e-185
LDVOCd,732.3836525419159,1.6908455467904446e-159
WFRCvbi,682.8262451775287,5.913134811709897e-149
LDTTRLvb,674.6631491988113,3.237514314148623e-147
WFRCnoi,621.962053397677,5.553149034103968e-136
RDFHGL,524.8535630888696,3.140241908500113e-115
DESSL,524.672043247161,3.434143766927153e-115
WFRCcwd,466.0878498329031,1.2270396959335234e-102
WFRCvb,382.5651870188844,1.0734831078183e-84
RDSMOG,364.3629273529722,8.876885614120898e-81
DESSNSL,360.23552346055607,6.869618357324524e-80
CRFAOa,355.62279940919575,6.764969861216764e-79
SECLOSadj,353.5785902510753,1.8643841738570147e-78
PSYAoA2,347.3755748329305,4.04312855676035e-77
DESSLmax,344.5609444622277,1.633500833385692e-76
CRFANPa,332.21869179171296,7.464574750973115e-74
PSYIM1,317.34164697576773,1.204771396068156e-70
SECLOSgiv,315.15068697064464,3.5768337461110754e-70
PSYAoA,314.56927056165057,4.7743959290588826e-70
DRNP,298.16892133489074,1.651738638129884e-66
LDTTRcw,295.42357373803287,6.465388995372928e-66
LDTTRvb,285.17348861066824,1.0566870874055044e-63
CRFNOa,270.6042587031346,1.4846944699037015e-60
SYNLE,269.9315072941678,2.075076252224264e-60
CRFANP1,251.56462811766187,1.941953559719865e-56
SECLOSall,246.77542756867751,2.1100321989347477e-55
RDFOG,246.70534234676003,2.1850047274509434e-55
CRFAO1,238.86601862688303,1.0860464491773717e-53
WFRCcw,235.67490325324306,5.328127154007318e-53
DESSLd,229.95220260467008,9.237166590318236e-52
DRVP,220.52868290975167,1.015074422956746e-49
LDTTRLno,219.07401306057153,2.0971962638375105e-49
CRFCWO1,216.1867803338259,8.85527474394138e-49
RDBR,211.07713592749656,1.1337434025357826e-47
CRFCWOa,205.41910528688578,1.909933047071055e-46
PSYFM2,204.63660476281632,2.82274617567351e-46
RDSPP,201.4888948964501,1.3589355544226412e-45
WFRCno,194.694219324337,4.044951903050818e-44
DESSNSLd,179.24555071405058,9.115066252416138e-41
LDTTRLa,175.3283317146471,6.462704912769647e-40
SYNNP,169.3242763685415,1.302112679878285e-38
CRFNO1,164.49401900637085,1.4597287524260886e-37
SYNMEDwrd,164.04230010297317,1.8299898398957686e-37
LDTTRno,161.5430371991758,6.392814710564661e-37
LDTTRLadv,161.25583562995803,7.38115923606537e-37
LDTTRadv,158.0031385747769,3.760872006465388e-36
LDTTRLrpron,145.9967349238547,1.5381721556102821e-33
PSYC1,145.41321319208785,2.0606108073412783e-33
DESWCU,141.2330204457027,1.6745325914502027e-32
PSYAoA3,138.25204680893347,7.463503794395729e-32
SYNMEDlem,134.81999004117532,4.172557125584534e-31
PSYIM2,130.75113031392056,3.2124022926766876e-30
DESPCi,130.20650534097624,4.2218587286752054e-30
DESWNSLlt,127.29988452846055,1.8153197755375654e-29
PSYC3,125.61136260458706,4.23657091645936e-29
DESWC,123.41213965946156,1.2778608882561904e-28
DRINF,121.17518289653323,3.9289930362449126e-28
PSYVAL1,117.05761024679632,3.107772517843026e-27
LDDvb,116.41728240994095,4.2870384772657134e-27
DESSLmin,109.75978789559177,1.2169080792810808e-25
SYNMEDpos,108.75439155014949,2.0173988538536844e-25
WRDPRO,103.05373932848133,3.5484521406555385e-24
DESCWLsy,87.01560024854571,1.1435896447306806e-20
TSSRxl,75.70636505589688,3.4456863425119696e-18
DESCWLlt,73.7563316365036,9.230948601311013e-18
PSYFM1,71.20702735889171,3.349619303873029e-17
PSYVAL3,70.7772197992774,4.1629181350350796e-17
PSYVAL0,69.29066731620878,8.830214401455271e-17
PSYIM0,66.46360111596654,3.692677699549159e-16
PSYC,62.845666962238624,2.307621180342001e-15
PSYIM,62.845666962238624,2.307621180342001e-15
PSYFM,62.845666962238624,2.307621180342001e-15
WRDNOUN,57.19369530780302,4.054848494845827e-14
LDDno,57.19369530780243,4.054848494845827e-14
LDMaas,55.14650506647806,1.1465169580402468e-13
CRFSOa,52.21894901426228,5.075145238540569e-13
CRFCWOad,50.19269386843041,1.422380251604956e-12
SYNCLS2,49.55027158889425,1.9723765326322858e-12
TSSRsh,49.232560289707024,2.3185525374893253e-12
WFMrcw,49.173953030098716,2.3887599980476668e-12
SECLOSgivd,48.146831076110466,4.029734672888725e-12
LDTTRLipron,47.259303325442865,6.332782485533231e-12
